Id,Id2,Geography,Total; Estimate; Workers 16 years and over,"Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Car, truck, or van","Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Car, truck, or van - Drove alone","Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Car, truck, or van - Carpooled","Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Car, truck, or van - Carpooled - In 2-person carpool","Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Car, truck, or van - Carpooled - In 3-person carpool","Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Car, truck, or van - Carpooled - In 4-or-more person carpool","Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Car, truck, or van - Workers per car, truck, or van",Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Public transportation (excluding taxicab),Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Walked,Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Bicycle,"Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Taxicab, motorcycle, or other means",Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Worked at home,Total; Estimate; PLACE OF WORK - Worked in state of residence,Total; Estimate; PLACE OF WORK - Worked in state of residence - Worked in county of residence,Total; Estimate; PLACE OF WORK - Worked in state of residence - Worked outside county of residence,Total; Estimate; PLACE OF WORK - Worked outside state of residence,Total; Estimate; Living in a place,Total; Estimate; Living in a place - Worked in place of residence,Total; Estimate; Living in a place - Worked outside place of residence,Total; Estimate; Not living in a place,Total; Estimate; Workers 16 years and over who did not work at home,Total; Estimate; Workers 16 years and over who did not work at home - TIME LEAVING HOME TO GO TO WORK - 12:00 a.m. to 4:59 a.m.,Total; Estimate; Workers 16 years and over who did not work at home - TIME LEAVING HOME TO GO TO WORK - 5:00 a.m. to 5:29 a.m.,Total; Estimate; Workers 16 years and over who did not work at home - TIME LEAVING HOME TO GO TO WORK - 5:30 a.m. to 5:59 a.m.,Total; Estimate; Workers 16 years and over who did not work at home - TIME LEAVING HOME TO GO TO WORK - 6:00 a.m. to 6:29 a.m.,Total; Estimate; Workers 16 years and over who did not work at home - TIME LEAVING HOME TO GO TO WORK - 6:30 a.m. to 6:59 a.m.,Total; Estimate; Workers 16 years and over who did not work at home - TIME LEAVING HOME TO GO TO WORK - 7:00 a.m. to 7:29 a.m.,Total; Estimate; Workers 16 years and over who did not work at home - TIME LEAVING HOME TO GO TO WORK - 7:30 a.m. to 7:59 a.m.,Total; Estimate; Workers 16 years and over who did not work at home - TIME LEAVING HOME TO GO TO WORK - 8:00 a.m. to 8:29 a.m.,Total; Estimate; Workers 16 years and over who did not work at home - TIME LEAVING HOME TO GO TO WORK - 8:30 a.m. to 8:59 a.m.,Total; Estimate; Workers 16 years and over who did not work at home - TIME LEAVING HOME TO GO TO WORK - 9:00 a.m. to 11:59 p.m.,Total; Estimate; TRAVEL TIME TO WORK - Less than 10 minutes,Total; Estimate; TRAVEL TIME TO WORK - 10 to 14 minutes,Total; Estimate; TRAVEL TIME TO WORK - 15 to 19 minutes,Total; Estimate; TRAVEL TIME TO WORK - 20 to 24 minutes,Total; Estimate; TRAVEL TIME TO WORK - 25 to 29 minutes,Total; Estimate; TRAVEL TIME TO WORK - 30 to 34 minutes,Total; Estimate; TRAVEL TIME TO WORK - 35 to 44 minutes,Total; Estimate; TRAVEL TIME TO WORK - 45 to 59 minutes,Total; Estimate; TRAVEL TIME TO WORK - 60 or more minutes,Total; Estimate; TRAVEL TIME TO WORK - Mean travel time to work (minutes)
0500000US27001,27001,"Aitkin County, Minnesota",6374,89.5,79.5,10.1,7.7,0.9,1.5,1.07,0.3,4,0,0.9,5.2,99.3,66,33.2,0.7,23.7,13.9,9.8,76.3,6043,4.9,3.6,6.7,8.4,10.3,13,16.6,9,4.4,23,24.9,13.1,13.8,11,5.5,9.9,6.7,6.5,8.6,24.8
0500000US27003,27003,"Anoka County, Minnesota",175464,90.7,82,8.7,7,1.1,0.6,1.06,3.3,1.1,0.2,0.6,4,99.4,39,60.4,0.6,98.8,14.5,84.3,1.2,168360,4.4,4.9,6.7,11.4,12.3,14.5,10.2,8.1,3.9,23.6,8,10.5,12.7,15.2,8,16.8,10.8,11.1,7,28
0500000US27005,27005,"Becker County, Minnesota",15403,88.9,77.4,11.6,8.7,1.6,1.3,1.08,0.2,2.5,1,0.6,6.7,91.5,73.6,17.9,8.5,36.6,21.6,15,63.4,14365,4.2,3.1,5.7,8.6,11.7,14.6,20.4,10.1,3.5,18.1,22.5,18.8,15.6,11.7,4.8,7.4,3.8,7.4,8.1,23.2
0500000US27007,27007,"Beltrami County, Minnesota",19957,85.7,74.9,10.8,8.7,1.2,0.9,1.07,2.7,3.2,1.1,0.6,6.8,98.6,85,13.6,1.4,43.4,28.5,14.9,56.6,18601,4.1,2.9,3.7,6.4,10.7,17,20.4,8.6,3.6,22.7,22.5,23.8,18.4,10.7,3.9,7.9,3.4,3,6.4,20.1
0500000US27009,27009,"Benton County, Minnesota",19393,91.5,82.3,9.2,7,1.1,1.1,1.06,0.9,1.9,0.6,0.6,4.5,99.3,36.8,62.5,0.7,66.2,18.7,47.5,33.8,18514,6.1,5.1,5.8,8.2,11.3,17.2,13,6.5,3,23.9,19.2,18.7,18.2,13.1,5.3,10.3,4.1,4.7,6.3,22.3
0500000US27011,27011,"Big Stone County, Minnesota",2418,84.2,75.7,8.5,5.3,0.7,2.6,1.06,0.4,5.7,0.5,0.4,8.9,84.7,67.9,16.9,15.3,63.8,30.6,33.2,36.2,2204,5.4,5.2,3.4,7.8,10.6,15.2,19.7,10.2,5.6,16.9,41.8,13,11.4,9.7,4.4,9,2.5,3.8,4.4,17
0500000US27013,27013,"Blue Earth County, Minnesota",35147,90.2,81.8,8.4,7.2,0.8,0.4,1.05,0.7,3.8,0.7,0.5,4.1,99.4,75.2,24.1,0.6,79.1,46.6,32.5,20.9,33718,3.1,1.9,4.5,6.4,11.2,12.5,18.4,8,4.1,30,23.5,28,20.1,11,3.9,5.5,2.3,2.1,3.5,17.2
0500000US27015,27015,"Brown County, Minnesota",13339,84.8,77.3,7.5,4.9,1.8,0.7,1.05,0.6,5.5,0.7,0.6,7.8,99.6,85.9,13.6,0.4,76.7,55.4,21.3,23.3,12295,3.4,4.3,6.4,9.8,11.1,14.4,17.4,6.5,3.4,23.3,42.5,20.4,11.4,8.8,2.9,5.8,3,2.6,2.6,14.9
0500000US27017,27017,"Carlton County, Minnesota",15920,91.7,83.4,8.2,6.2,1.5,0.5,1.05,0.2,2.8,0.2,0.9,4.2,96,64,32,4,56.8,21.5,35.3,43.2,15244,4.6,5.1,5.5,9.6,10.9,13.8,16.6,7.4,2.5,23.9,20.6,18.3,12,13.7,7.2,13.9,6.5,4.5,3.3,21.2
0500000US27019,27019,"Carver County, Minnesota",49996,88.8,82.8,6,4.8,0.6,0.5,1.04,1.7,1.3,0.4,0.5,7.3,99.3,39.5,59.8,0.7,87.9,18.8,69.2,12.1,46336,3.7,3.3,5,8.8,11.8,17.5,15.2,10.5,4.5,19.8,14,11.3,12.1,14.7,9,14.2,10,9.5,5.2,25.4
0500000US27021,27021,"Cass County, Minnesota",11813,85.8,75.9,9.9,8.1,1.1,0.8,1.07,1,3.6,0.3,1.6,7.8,97.9,55.4,42.5,2.1,23.4,9.2,14.2,76.6,10889,4.5,3.9,4.6,7.4,12,15.5,18.3,7.2,4.4,22.2,23.4,14.2,14.2,14.2,5.9,10.6,5.1,6.3,6,22.8
0500000US27023,27023,"Chippewa County, Minnesota",6306,89.9,81.3,8.5,4,2.7,1.8,1.06,0.4,3,0.7,0.4,5.6,98.7,70.5,28.2,1.3,66.1,39.7,26.4,33.9,5953,4.1,7.1,5.3,10,12.5,15.1,17.2,7.4,1.8,19.5,40.2,17,12.2,10.6,3.6,6.4,3.1,2.6,4.3,17.9
0500000US27025,27025,"Chisago County, Minnesota",26941,92.6,84.1,8.4,6.6,1.1,0.7,1.05,0.9,1.1,0.3,1,4.1,96.4,36.2,60.1,3.6,64.6,11.9,52.7,35.4,25829,7.5,6.8,8.4,12,11.1,15,8.7,6.7,3.2,20.7,12.9,8,10.4,9.3,4.5,11.3,10.9,17.9,14.8,32.7
