Id,Id2,Geography,Workers 16 years and over,CarAlone,Carpool,Public,WalkedOrBiked,TaxiMotorOther,WorkedAtHome,InState,InCounty,OutCounty,OutState,Time
0500000US27001,27001,"Aitkin County, Minnesota",6374,79.5,10.1,0.3,4,0.9,5.2,99.3,66,33.2,0.7,24.8
0500000US27003,27003,"Anoka County, Minnesota",175464,82,8.7,3.3,1.3,0.6,4,99.4,39,60.4,0.6,28
0500000US27005,27005,"Becker County, Minnesota",15403,77.4,11.6,0.2,3.5,0.6,6.7,91.5,73.6,17.9,8.5,23.2
0500000US27007,27007,"Beltrami County, Minnesota",19957,74.9,10.8,2.7,4.3,0.6,6.8,98.6,85,13.6,1.4,20.1
0500000US27009,27009,"Benton County, Minnesota",19393,82.3,9.2,0.9,2.5,0.6,4.5,99.3,36.8,62.5,0.7,22.3
0500000US27011,27011,"Big Stone County, Minnesota",2418,75.7,8.5,0.4,6.2,0.4,8.9,84.7,67.9,16.9,15.3,17
0500000US27013,27013,"Blue Earth County, Minnesota",35147,81.8,8.4,0.7,4.5,0.5,4.1,99.4,75.2,24.1,0.6,17.2
0500000US27015,27015,"Brown County, Minnesota",13339,77.3,7.5,0.6,6.2,0.6,7.8,99.6,85.9,13.6,0.4,14.9
0500000US27017,27017,"Carlton County, Minnesota",15920,83.4,8.2,0.2,3,0.9,4.2,96,64,32,4,21.2
0500000US27019,27019,"Carver County, Minnesota",49996,82.8,6,1.7,1.7,0.5,7.3,99.3,39.5,59.8,0.7,25.4
0500000US27021,27021,"Cass County, Minnesota",11813,75.9,9.9,1,3.9,1.6,7.8,97.9,55.4,42.5,2.1,22.8
0500000US27023,27023,"Chippewa County, Minnesota",6306,81.3,8.5,0.4,3.7,0.4,5.6,98.7,70.5,28.2,1.3,17.9
0500000US27025,27025,"Chisago County, Minnesota",26941,84.1,8.4,0.9,1.4,1,4.1,96.4,36.2,60.1,3.6,32.7
0500000US27027,27027,"Clay County, Minnesota",32208,78.6,8,1,6,0.9,5.6,47.4,43.7,3.7,52.6,18.8
0500000US27029,27029,"Clearwater County, Minnesota",3454,77.4,12.2,0.9,2.1,1.1,6.3,96,61.1,34.9,4,26.1
0500000US27031,27031,"Cook County, Minnesota",2726,71.3,10.1,0.4,10.1,1,6.9,99.8,94.8,5.1,0.2,18.5
0500000US27033,27033,"Cottonwood County, Minnesota",5399,72.2,10.7,1.2,8,1,6.8,98.9,77.3,21.5,1.1,16.1
0500000US27035,27035,"Crow Wing County, Minnesota",28183,80.6,9.6,0.5,2.2,1,6.2,98.7,84.6,14.1,1.3,21.6
0500000US27037,27037,"Dakota County, Minnesota",215803,82.3,7.7,3.3,1.4,0.8,4.5,99,47.9,51.1,1,24.1
0500000US27039,27039,"Dodge County, Minnesota",10593,81.6,9.3,0.7,1.8,0.8,5.9,99.3,37.2,62.2,0.7,23.7
0500000US27041,27041,"Douglas County, Minnesota",18211,83.2,7.6,0.3,2.9,1,4.9,98.8,85.1,13.7,1.2,18.3
0500000US27043,27043,"Faribault County, Minnesota",6952,78.4,8.2,0.3,4.9,0.6,7.7,96.5,71.7,24.7,3.5,19.2
0500000US27045,27045,"Fillmore County, Minnesota",10188,70.7,12.2,3.2,5.5,1.2,7.1,94.9,55.1,39.9,5.1,25.5
0500000US27047,27047,"Freeborn County, Minnesota",14894,80.7,10.5,1,2.2,1.6,3.9,94.6,75.2,19.4,5.4,18.5
0500000US27049,27049,"Goodhue County, Minnesota",23177,79.4,9,1,4.4,0.9,5.3,98.2,64.8,33.5,1.8,23.1
0500000US27051,27051,"Grant County, Minnesota",2919,79.4,6.6,1.1,7.2,0.9,4.8,98.2,57.4,40.8,1.8,22.7
0500000US27053,27053,"Hennepin County, Minnesota",623276,73.5,8.1,7.4,5,0.9,5.1,99.2,81,18.1,0.8,23
0500000US27055,27055,"Houston County, Minnesota",9609,79.9,7.9,1,3.5,1.4,6.3,53.3,45.3,8,46.7,21.3
0500000US27057,27057,"Hubbard County, Minnesota",9329,79.7,9.5,0.4,3.6,0.9,6,98,58.5,39.4,2,21.6
0500000US27059,27059,"Isanti County, Minnesota",18880,80.4,9.6,1,1.9,1.1,6,98.6,41.1,57.5,1.4,33.5
0500000US27061,27061,"Itasca County, Minnesota",19367,81.5,9.8,0.9,3.1,0.5,4.2,99.2,84.4,14.8,0.8,22.8
0500000US27063,27063,"Jackson County, Minnesota",5223,80,8.4,0.2,3.3,0.9,7.3,93,72,21.1,7,17.8
0500000US27065,27065,"Kanabec County, Minnesota",7022,80.5,10.9,0.1,1.9,1.8,4.8,97.8,47.4,50.5,2.2,32.1
0500000US27067,27067,"Kandiyohi County, Minnesota",21430,82.1,10.2,0.8,2.5,0.5,3.8,99,86.5,12.5,1,17.5
