Id,Id2,Geography,Total; Estimate; Workers 16 years and over,,"Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Car, truck, or van",DroveAlone,2pCarpool,3pCarpool,4plusCarpool,PublicTrans,Walked,Bike,TaxiMotoOther,WorkedFromHome,InState,InCounty,OutCounty,OutState,Total; Estimate; Workers 16 years and over who did not work at home,124,5,6,7,8,912,lt10,1019,2029,3044,4559,60plus,MeanTravel
0500000US27001,27001,"Aitkin County, Minnesota",6374,94.80702855,89.5,79.5,7.7,0.9,1.5,0.3,4,0,0.9,5.2,99.3,66,33.2,0.7,6043,4.9,10.3,18.7,29.6,13.4,23,24.9,26.9,16.5,16.6,6.5,8.6,24.8
0500000US27003,27003,"Anoka County, Minnesota",175464,95.95130625,90.7,82,7,1.1,0.6,3.3,1.1,0.2,0.6,4,99.4,39,60.4,0.6,168360,4.4,11.6,23.7,24.7,12,23.6,8,23.2,23.2,27.6,11.1,7,28
0500000US27005,27005,"Becker County, Minnesota",15403,93.26105304,88.9,77.4,8.7,1.6,1.3,0.2,2.5,1,0.6,6.7,91.5,73.6,17.9,8.5,14365,4.2,8.8,20.3,35,13.6,18.1,22.5,34.4,16.5,11.2,7.4,8.1,23.2
0500000US27007,27007,"Beltrami County, Minnesota",19957,93.20539159,85.7,74.9,8.7,1.2,0.9,2.7,3.2,1.1,0.6,6.8,98.6,85,13.6,1.4,18601,4.1,6.6,17.1,37.4,12.2,22.7,22.5,42.2,14.6,11.3,3,6.4,20.1
0500000US27009,27009,"Benton County, Minnesota",19393,95.4674367,91.5,82.3,7,1.1,1.1,0.9,1.9,0.6,0.6,4.5,99.3,36.8,62.5,0.7,18514,6.1,10.9,19.5,30.2,9.5,23.9,19.2,36.9,18.4,14.4,4.7,6.3,22.3
0500000US27011,27011,"Big Stone County, Minnesota",2418,91.1497105,84.2,75.7,5.3,0.7,2.6,0.4,5.7,0.5,0.4,8.9,84.7,67.9,16.9,15.3,2204,5.4,8.6,18.4,34.9,15.8,16.9,41.8,24.4,14.1,11.5,3.8,4.4,17
0500000US27013,27013,"Blue Earth County, Minnesota",35147,95.93421914,90.2,81.8,7.2,0.8,0.4,0.7,3.8,0.7,0.5,4.1,99.4,75.2,24.1,0.6,33718,3.1,6.4,17.6,30.9,12.1,30,23.5,48.1,14.9,7.8,2.1,3.5,17.2
0500000US27015,27015,"Brown County, Minnesota",13339,92.17332634,84.8,77.3,4.9,1.8,0.7,0.6,5.5,0.7,0.6,7.8,99.6,85.9,13.6,0.4,12295,3.4,10.7,20.9,31.8,9.9,23.3,42.5,31.8,11.7,8.8,2.6,2.6,14.9
0500000US27017,27017,"Carlton County, Minnesota",15920,95.75376884,91.7,83.4,6.2,1.5,0.5,0.2,2.8,0.2,0.9,4.2,96,64,32,4,15244,4.6,10.6,20.5,30.4,9.9,23.9,20.6,30.3,20.9,20.4,4.5,3.3,21.2
0500000US27019,27019,"Carver County, Minnesota",49996,92.67941435,88.8,82.8,4.8,0.6,0.5,1.7,1.3,0.4,0.5,7.3,99.3,39.5,59.8,0.7,46336,3.7,8.3,20.6,32.7,15,19.8,14,23.4,23.7,24.2,9.5,5.2,25.4
0500000US27021,27021,"Cass County, Minnesota",11813,92.17810886,85.8,75.9,8.1,1.1,0.8,1,3.6,0.3,1.6,7.8,97.9,55.4,42.5,2.1,10889,4.5,8.5,19.4,33.8,11.6,22.2,23.4,28.4,20.1,15.7,6.3,6,22.8
0500000US27023,27023,"Chippewa County, Minnesota",6306,94.40215668,89.9,81.3,4,2.7,1.8,0.4,3,0.7,0.4,5.6,98.7,70.5,28.2,1.3,5953,4.1,12.4,22.5,32.3,9.2,19.5,40.2,29.2,14.2,9.5,2.6,4.3,17.9
0500000US27025,27025,"Chisago County, Minnesota",26941,95.87246205,92.6,84.1,6.6,1.1,0.7,0.9,1.1,0.3,1,4.1,96.4,36.2,60.1,3.6,25829,7.5,15.2,23.1,23.7,9.9,20.7,12.9,18.4,13.8,22.2,17.9,14.8,32.7
0500000US27027,27027,"Clay County, Minnesota",32208,94.44237457,86.6,78.6,6.2,0.9,0.9,1,5.5,0.5,0.9,5.6,47.4,43.7,3.7,52.6,30418,2.9,5.4,17.3,36.4,12.4,25.7,21,41.7,19.2,11.6,3.2,3.1,18.8
0500000US27029,27029,"Clearwater County, Minnesota",3454,93.74638101,89.6,77.4,9.3,1.6,1.4,0.9,2,0.1,1.1,6.3,96,61.1,34.9,4,3238,3.7,10.1,24,32.9,9.7,19.6,25.5,26.2,14.5,17.4,7.2,9.2,26.1
0500000US27031,27031,"Cook County, Minnesota",2726,93.06676449,81.4,71.3,8.2,1.3,0.6,0.4,9.8,0.3,1,6.9,99.8,94.8,5.1,0.2,2537,2.1,5.9,16.3,35.2,17.5,23,45.6,25.1,10.4,8.9,5.6,4.3,18.5
0500000US27033,27033,"Cottonwood County, Minnesota",5399,93.165401,82.9,72.2,7.6,1.8,1.3,1.2,7.1,0.9,1,6.8,98.9,77.3,21.5,1.1,5030,3.5,9.9,21.6,30.9,13.9,20.2,38.4,31.7,13.3,10.7,2.3,3.7,16.1
0500000US27035,27035,"Crow Wing County, Minnesota",28183,93.75510059,90.1,80.6,7.5,1.2,0.8,0.5,1.7,0.5,1,6.2,98.7,84.6,14.1,1.3,26423,3.8,9.6,15.9,35.4,13.1,22.2,20.9,36.3,19.5,14.4,3.5,5.3,21.6
0500000US27037,27037,"Dakota County, Minnesota",215803,95.50006256,90,82.3,6.4,0.8,0.4,3.3,1.1,0.3,0.8,4.5,99,47.9,51.1,1,206092,3.1,7.7,21.9,28.6,14.7,23.8,12.6,27,24.6,24.2,7.7,3.9,24.1
0500000US27039,27039,"Dodge County, Minnesota",10593,94.13763806,90.9,81.6,7.4,1,0.9,0.7,1.5,0.3,0.8,5.9,99.3,37.2,62.2,0.7,9972,5.5,11.7,27.6,27.5,7.9,19.8,18.3,18,31.5,22.6,5.3,4.3,23.7
0500000US27041,27041,"Douglas County, Minnesota",18211,95.05793202,90.8,83.2,6.1,1.1,0.4,0.3,2.5,0.4,1,4.9,98.8,85.1,13.7,1.2,17311,3.7,8.5,16.8,35.8,13.2,21.9,27.2,41.2,16.5,9,2.1,4.1,18.3
0500000US27043,27043,"Faribault County, Minnesota",6952,92.33314154,86.5,78.4,6.3,1.5,0.4,0.3,4.6,0.3,0.6,7.7,96.5,71.7,24.7,3.5,6419,4.6,9.5,21.1,33.7,11.6,19.6,36.4,24.9,14,14.8,5.8,4.1,19.2
0500000US27045,27045,"Fillmore County, Minnesota",10188,92.89360031,82.9,70.7,10.1,1.3,0.9,3.2,4.9,0.6,1.2,7.1,94.9,55.1,39.9,5.1,9464,5.9,13.2,25.5,28.3,9.5,17.7,26.4,19.9,13.3,20,12,8.4,25.5
0500000US27047,27047,"Freeborn County, Minnesota",14894,96.08567208,91.2,80.7,8.2,1,1.3,1,1.8,0.4,1.6,3.9,94.6,75.2,19.4,5.4,14311,5.8,10.7,19,28.1,11.1,25.2,26.6,40.9,14.8,10.6,2.7,4.6,18.5
0500000US27049,27049,"Goodhue County, Minnesota",23177,94.67144152,88.4,79.4,7.3,1.1,0.6,1,4,0.4,0.9,5.3,98.2,64.8,33.5,1.8,21942,6.2,12.9,20.9,27.5,10.2,22.3,24.9,26.2,17.9,15.6,8.1,7.3,23.1
0500000US27051,27051,"Grant County, Minnesota",2919,95.16957862,86.1,79.4,4.7,1.2,0.8,1.1,6.9,0.3,0.9,4.8,98.2,57.4,40.8,1.8,2778,3.2,9.2,17.6,36.9,14.6,18.5,29.8,19.4,16.9,23.6,4.4,5.8,22.7
0500000US27053,27053,"Hennepin County, Minnesota",623276,94.94766364,81.7,73.5,6.5,0.9,0.7,7.4,3.3,1.7,0.9,5.1,99.2,81,18.1,0.8,591786,2.7,6.1,16.4,29.7,19.6,25.5,9.7,32,28.3,21.4,5,3.5,23
0500000US27055,27055,"Houston County, Minnesota",9609,93.69341243,87.8,79.9,5.7,1.2,1.1,1,3.1,0.4,1.4,6.3,53.3,45.3,8,46.7,9003,6.5,12.5,21.2,33.3,10.5,16,21.8,33.8,16.9,17.4,5.6,4.6,21.3
0500000US27057,27057,"Hubbard County, Minnesota",9329,94.00793225,89.2,79.7,7,1.5,1,0.4,3.3,0.3,0.9,6,98,58.5,39.4,2,8770,3.2,7.4,17.7,33.4,15.3,22.9,23.1,34.4,20.7,11.7,3.9,6.1,21.6
0500000US27059,27059,"Isanti County, Minnesota",18880,94.02012712,90,80.4,7.5,1.8,0.3,1,1.7,0.2,1.1,6,98.6,41.1,57.5,1.4,17751,8.6,14.4,22.7,21.6,8.5,24.2,13.7,23.5,11.2,19.8,13.6,18.1,33.5
0500000US27061,27061,"Itasca County, Minnesota",19367,95.8124645,91.3,81.5,7.8,1.1,0.8,0.9,2.7,0.4,0.5,4.2,99.2,84.4,14.8,0.8,18556,3.8,10.2,20.3,30.1,12.5,23.1,20.7,34.7,19,13.7,5.3,6.5,22.8
0500000US27063,27063,"Jackson County, Minnesota",5223,92.74363393,88.4,80,6.8,1,0.6,0.2,3.2,0.1,0.9,7.3,93,72,21.1,7,4844,7.5,10.4,16.6,36.9,12.3,16.3,35.6,29.8,18.2,10.2,1.9,4.3,17.8
0500000US27065,27065,"Kanabec County, Minnesota",7022,95.22927941,91.4,80.5,7.8,2.2,0.9,0.1,1.8,0.1,1.8,4.8,97.8,47.4,50.5,2.2,6687,10.5,15.1,16.9,25.5,9.4,22.5,18.9,22,15.2,17.9,7.6,18.3,32.1
0500000US27067,27067,"Kandiyohi County, Minnesota",21430,96.17358843,92.4,82.1,7.4,1.7,1.1,0.8,1.9,0.6,0.5,3.8,99,86.5,12.5,1,20610,4.3,8.3,18.3,34.6,11.6,22.9,31.2,36.5,15.6,9.8,2.4,4.6,17.5
0500000US27069,27069,"Kittson County, Minnesota",2129,89.38468765,80,69.2,6.2,2.8,1.8,0.6,7.7,0.5,0.7,10.6,86,72.3,13.7,14,1903,4.5,9.8,22,34.1,13,16.6,37.1,22.7,12.6,14.5,7.1,6,20
0500000US27071,27071,"Koochiching County, Minnesota",5810,94.13080895,86.5,74.6,10,1,0.9,1.8,3.7,0.7,1.4,5.9,98.8,90.9,7.9,1.2,5469,6.8,11,17.8,27.4,13.3,23.5,48.2,30.2,7.3,6.3,2.6,5.4,16.6
0500000US27073,27073,"Lac qui Parle County, Minnesota",3359,89.10389997,82.5,74.3,5.9,1.6,0.7,0.3,5.4,0.1,0.7,10.9,96.8,71.4,25.4,3.2,2993,4.1,10.8,16.3,33.9,15.4,19.6,37.5,27.4,15,13.3,3.1,3.7,16.9
0500000US27075,27075,"Lake County, Minnesota",4741,94.68466568,87.1,76.7,7.2,2.8,0.4,0.1,5.3,1.2,1,5.3,94.4,70.6,23.9,5.6,4489,7.1,12.9,18.7,25.2,12.3,23.8,35.6,23.2,8.5,15.1,10.6,7,21.8
0500000US27077,27077,"Lake of the Woods County, Minnesota",1971,95.38305429,92.5,74.8,13.7,3,0.9,0.1,2.8,0,0,4.6,99.9,72.7,27.2,0.1,1880,15.2,11.3,15.4,29,10.6,18.5,27.9,32.5,15.4,16.4,2,5.8,18.4
0500000US27079,27079,"Le Sueur County, Minnesota",14238,95.96151145,91.5,81.6,8.3,1,0.5,0.5,2.9,0.3,0.9,4,99.3,40.4,58.9,0.7,13663,6.5,10.8,23.1,31.1,10,18.3,23.1,22.2,17.2,21,8.7,7.8,25
0500000US27081,27081,"Lincoln County, Minnesota",2946,88.22131704,80.9,71.8,6.2,1.9,1,0.1,6.2,0.2,0.9,11.8,90.9,60.4,30.5,9.1,2599,3.7,8.9,22.1,34.6,12.4,18.4,34.4,22.3,13,22.5,4.3,3.5,20.2
0500000US27083,27083,"Lyon County, Minnesota",13925,93.53680431,88.1,74.3,10.7,1.8,1.3,1.1,3.1,0.5,0.7,6.5,98.3,91.1,7.2,1.7,13025,3.7,7.7,18.1,37.7,11.2,21.6,44.1,29.6,14.7,7,1.5,3.2,15.3
0500000US27085,27085,"McLeod County, Minnesota",18503,96.04388478,90.9,82.1,6.7,0.6,1.5,0.4,3.1,1,0.7,4,99.4,67.3,32.1,0.6,17771,5,13.1,19.8,27.4,12.5,22.2,28.2,28.2,16.2,11.1,6.8,9.4,22.2
0500000US27087,27087,"Mahnomen County, Minnesota",2121,96.08675153,88.4,75.2,10.2,1.8,1.2,2.2,4.5,0.1,0.8,3.9,96.7,69.5,27.2,3.3,2038,3,9.8,14.7,39.1,13.6,19.9,31.8,23.9,16.4,16.9,3.2,7.7,22.1
0500000US27089,27089,"Marshall County, Minnesota",4657,93.12862358,87.5,75.7,8.5,2,1.2,0.3,3.5,0.4,1.4,6.9,88.2,51.5,36.7,11.8,4337,4.2,9.8,22.5,36,12.6,14.9,27.5,18.3,18.3,21.9,7.7,6.2,23.1
0500000US27091,27091,"Martin County, Minnesota",10239,95.40970798,89.9,80.5,6.4,1.8,1.1,1.2,2.8,0.1,1.5,4.6,96.3,81.8,14.5,3.7,9769,3,11.4,18.1,31.8,12.9,22.7,35.4,31.6,16.1,9.7,2.7,4.5,16.9
0500000US27093,27093,"Meeker County, Minnesota",11179,95.33053046,90.9,82.7,6.1,1,1.1,0.2,3.1,0.4,0.7,4.7,99.4,54.7,44.7,0.6,10657,5.4,12.6,22.7,29.7,9.9,19.5,25.3,26.6,18.7,14.5,5.5,9.4,24.4
0500000US27095,27095,"Mille Lacs County, Minnesota",11479,96.43697186,91.2,80.6,7.8,2,0.8,0.4,3.2,0.1,1.6,3.6,98.7,53.8,44.9,1.3,11070,9.4,13.7,20.2,26.7,10.6,19.5,23.3,24.3,11.1,13.8,11.1,16.6,29.1
0500000US27097,27097,"Morrison County, Minnesota",16011,92.95484355,88.4,77.4,8,1.8,1.3,0.2,3.1,0.2,1.1,7,99,62.1,36.8,1,14883,9.1,13.1,20.9,27.7,9.4,19.6,22.6,25.3,15.5,20.2,8.4,8,25.6
0500000US27099,27099,"Mower County, Minnesota",18594,96.16542971,88,78.9,7.3,1.4,0.5,2.2,3.6,0.8,1.6,3.8,97.9,77,21,2.1,17881,6.3,12.4,21.4,22.1,9,28.9,36.6,32.3,9.9,11.5,6,3.8,17.5
0500000US27101,27101,"Murray County, Minnesota",4223,90.62278001,83.9,75.5,6.5,1.1,0.8,0.6,4.9,0.5,0.6,9.4,97.9,68.3,29.6,2.1,3827,2.9,8.8,21.7,35.1,14,17.4,35.5,24.7,14.5,16.9,4.7,3.9,19.7
0500000US27103,27103,"Nicollet County, Minnesota",18246,91.0117286,84.6,77.3,5.8,1.2,0.3,0.9,4.2,0.8,0.5,9,99.7,50.3,49.4,0.3,16606,2.5,8.8,17.8,34,12.5,24.4,32.8,40.6,14.1,5.9,2,4.6,16.2
0500000US27105,27105,"Nobles County, Minnesota",10162,95.64062192,87.9,70.5,12.1,1.8,3.4,0.5,4,0.6,2.7,4.4,92.8,82.2,10.6,7.2,9719,5.1,14.5,17.9,27.2,9.8,25.4,35.8,32.8,12.1,9.4,6.4,3.5,17.4
0500000US27107,27107,"Norman County, Minnesota",3088,91.02979275,86.1,78.3,5.9,0.9,0.9,0.3,3.5,0.7,0.5,9,85.4,62.2,23.2,14.6,2811,2.8,10,19.8,37.5,13.6,16.4,32,25.2,12.2,12.5,8,10.1,22.3
0500000US27109,27109,"Olmsted County, Minnesota",77949,95.90373193,86.7,75.8,8.9,1.1,0.9,4.7,3,0.7,0.9,4.1,99.1,93,6.1,0.9,74756,3,7.8,21.1,32.6,13.1,22.4,18,51.4,18.2,7.2,2.1,3.1,17.3
0500000US27111,27111,"Otter Tail County, Minnesota",26863,94.65435729,88.4,77.1,8.1,1.5,1.6,0.7,4.2,0.6,0.8,5.3,94.9,78.6,16.3,5.1,25427,4,10.2,18,32.9,13.8,21.1,29.6,32.1,15.4,11.9,4.4,6.7,20.7
0500000US27113,27113,"Pennington County, Minnesota",7381,95.14970871,88,74.6,11,1.8,0.6,1,3.7,0.7,1.8,4.9,98.3,92.1,6.2,1.7,7023,3.1,9.8,17.9,32,17.2,20,41.3,37.4,7.8,6.9,2.6,4.1,15
0500000US27115,27115,"Pine County, Minnesota",12656,95.7806574,91.3,78.6,9.7,1.9,1.1,0.6,2.3,0.2,1.4,4.2,98,61.5,36.5,2,12122,9.5,12.8,16.9,24.1,10.9,25.8,18.6,29.4,15.7,13.7,5.2,17.4,29.9
0500000US27117,27117,"Pipestone County, Minnesota",4631,92.52861153,86.7,75.5,7.1,2.4,1.7,0.6,3.9,0.1,1.2,7.5,88.9,78.5,10.4,11.1,4285,4.6,10.3,19.9,33.2,13.7,18.3,46,22.9,10.2,9.7,6,5.3,17.5
0500000US27119,27119,"Polk County, Minnesota",15459,95.25195679,89.4,80.9,6,1.6,0.9,0.7,4,0.5,0.8,4.7,70.6,62.4,8.2,29.4,14725,2.7,6.7,18.7,38.2,13.5,20.1,33.1,33.4,13.8,11.9,4.3,3.5,17.7
0500000US27121,27121,"Pope County, Minnesota",5320,94.64285714,87.1,77.9,7.1,1.4,0.7,0.3,5.8,0.1,1.4,5.4,99.2,61.4,37.8,0.8,5035,3.4,13,18.6,36.5,10.8,17.8,28.9,30.9,17.4,15.4,3.8,3.4,18.7
0500000US27123,27123,"Ramsey County, Minnesota",256575,94.9129884,83.8,74.5,7.3,1,1,6.2,3.1,1,0.8,5.1,98.9,55,44,1.1,243523,2.7,7.1,18.2,27,17.6,27.4,9.9,33.3,27.3,20.4,5.3,3.9,23.1
0500000US27125,27125,"Red Lake County, Minnesota",2048,94.38476563,89.4,80.1,6.9,1.2,1.2,0.2,4.2,0,0.5,5.6,97.4,46.4,51,2.6,1933,3.1,8,23.3,37.6,12.4,15.6,24.3,18.4,26.2,20.9,6.1,4.1,22.3
0500000US27127,27127,"Redwood County, Minnesota",7506,92.09965361,86.3,77.4,6.3,0.9,1.5,0.5,4.6,0.5,0.3,7.9,99.3,77.5,21.8,0.7,6913,3.1,8,18.7,35.9,14.3,19.9,39.5,27.6,14.4,10.5,4.7,3.3,16.6
0500000US27129,27129,"Renville County, Minnesota",7396,92.49594375,86.9,79.3,5.2,1.1,1.3,0.5,3.7,0.6,0.8,7.5,99.6,67.3,32.3,0.4,6841,4.5,8.7,23.4,33.2,11.9,18.2,34.1,28.3,16.4,13,4.3,3.9,18.4
0500000US27131,27131,"Rice County, Minnesota",32880,87.00425791,79.4,71.7,5.8,0.9,1,1,4.6,0.7,1.4,13,99.2,67.1,32.1,0.8,28607,6.2,11.5,18.5,28.3,11.8,23.6,25.8,28,16.2,12.9,8.8,8.2,22.5
0500000US27133,27133,"Rock County, Minnesota",4679,92.37016457,84.4,76,6.2,0.9,1.2,1.1,4.6,0.2,2.1,7.6,76,67.6,8.4,24,4322,5.9,7.4,20.8,34.5,10.8,20.5,39.1,24.4,11.3,16.8,5,3.4,18.2
0500000US27135,27135,"Roseau County, Minnesota",8180,95.73349633,90.4,73.8,13.4,1.8,1.3,0.6,3.2,0.4,1.2,4.3,99.1,94.7,4.4,0.9,7831,10.9,13.3,19,26.6,9.4,20.8,37.6,30,14.2,11.9,3.1,3.3,16.6
0500000US27137,27137,"St. Louis County, Minnesota",92866,96.23112872,87.9,78,8.1,1.3,0.6,2.3,4.4,0.5,1.1,3.8,95.4,89.7,5.7,4.6,89366,3.4,8.4,18.8,29.7,13.2,26.6,20.5,39.2,20.4,12.2,3.6,4,19.6
0500000US27139,27139,"Scott County, Minnesota",71862,94.77609863,91.1,83.9,5.6,1.1,0.5,1.7,0.9,0.2,1,5.2,99,35.6,63.4,1,68108,3.7,9.2,22.7,29,14.2,21.3,11.4,22.6,24.6,27.2,8.8,5.4,26.3
0500000US27141,27141,"Sherburne County, Minnesota",45578,95.95857651,92.2,82.8,7.7,1,0.8,1.4,0.9,0.2,1.3,4,99.2,30.2,69.1,0.8,43736,7.1,14.1,23.1,24.4,10.4,20.9,9.5,22.6,15.7,22.2,14.3,15.7,32.1
0500000US27143,27143,"Sibley County, Minnesota",7648,92.45554393,87.9,77.7,7.3,2.1,0.9,0.3,3.7,0.1,0.4,7.5,99.4,47.6,51.9,0.6,7071,8.1,15.4,21.5,26.4,10.2,18.4,23,22.5,15,22.4,9.6,7.5,25
0500000US27145,27145,"Stearns County, Minnesota",79744,93.2421248,86.7,78.4,6.1,1.3,0.9,1.4,4.1,0.5,0.6,6.8,99.2,80.5,18.7,0.8,74355,5.7,8.9,19,30.8,10.9,24.8,22.3,38.3,18.1,11.9,3.8,5.5,20.3
0500000US27147,27147,"Steele County, Minnesota",18070,96.71278362,92.9,86,5.5,0.8,0.6,0.5,1.9,0.5,0.9,3.3,99.8,78.5,21.2,0.2,17476,4.3,11.3,22.5,29.6,9.8,22.6,33.4,36.1,13.4,8.1,4.1,4.8,17.7
0500000US27149,27149,"Stevens County, Minnesota",5050,94.13861386,77,69.1,5,1.1,1.8,1.5,12.7,2.1,0.8,5.9,99.1,90,9.1,0.9,4754,2.8,10.7,13.3,29.9,17.5,26,49.1,34.6,7.9,4.9,1.8,1.8,12
0500000US27151,27151,"Swift County, Minnesota",4919,93.04736735,81.4,73.3,6,1.2,0.9,0.9,9,0.7,1,7,99.3,76.1,23.3,0.7,4577,4.5,14.7,18.8,33,11.1,18,44.3,21.4,13.4,13.9,4.7,2.3,16.4
0500000US27153,27153,"Todd County, Minnesota",11161,91.90932712,86,75,8.2,1.5,1.3,0.3,3.6,0.1,1.9,8.1,99,53.9,45.1,1,10258,9,11.7,20.4,26.7,10.3,21.7,25.1,25.5,18.2,17.4,7.4,6.4,23.4
0500000US27155,27155,"Traverse County, Minnesota",1618,90.04944376,82.2,75.2,3.6,2.1,1.3,0,5.4,1.6,0.8,10,91.6,77.6,14,8.4,1457,2,6.4,18.1,37.2,18.9,17.4,51.7,18.3,11.3,14.2,2.3,2.3,15
0500000US27157,27157,"Wabasha County, Minnesota",11140,94.09335727,86.2,75.7,8.4,1.5,0.6,2.5,4.3,0.5,0.6,5.9,97.8,51.4,46.4,2.2,10482,5.5,11.3,21.5,31,9.7,21.1,28.1,18,20.3,21.2,7,5.4,22.9
