Id,Id2,Id3,Geography,Total Workers,Drove Alone,Carpooled,Walked or Biked,"Public Transportation, Taxi, or Motorcycle",Worked From Home,Work In State of Residence,InCounty,OutCounty,Work Outside State of Residence,Total Commuters,Left Between 12am and 4am,Left Between 5am,Left Between 6am,Left Between 7am,Left Between 8am,Left Between 9am and 12pm,Less Than 10 Minutes,10-19 Minutes,20-29 Minutes,30-44 Minutes,45-59 Minutes,60 Minutes or more,MeanTravel
0500000US27053,27053,id27053,"Hennepin County, Minnesota",623276,458108,50485,31164,51731,31787,99.2,81,18.1,0.8,591786,2.7,6.1,16.4,29.7,19.6,25.5,9.7,32,28.3,21.4,5,3.5,23
0500000US55079,55079,id55079,"Milwaukee County, Wisconsin",431099,328497,42248,19400,28884,12071,99.2,80.3,18.9,0.8,419084,3.9,8.1,18,26.6,14.4,29.1,11.4,34.4,26.9,18.9,4.4,4,22.2
0500000US55025,55025,id55025,"Dane County, Wisconsin",275925,200322,22902,24006,16279,12417,99.2,94.5,4.7,0.8,263619,2.5,5.9,17.1,33.1,17.1,24.3,14.7,35.4,26,17.1,3.6,3.2,20.9
0500000US27123,27123,id27123,"Ramsey County, Minnesota",256575,191148,23862,10520,17961,13085,98.9,55,44,1.1,243523,2.7,7.1,18.2,27,17.6,27.4,9.9,33.3,27.3,20.4,5.3,3.9,23.1
0500000US27037,27037,id27037,"Dakota County, Minnesota",215803,177606,16400,3021,8847,9711,99,47.9,51.1,1,206092,3.1,7.7,21.9,28.6,14.7,23.8,12.6,27,24.6,24.2,7.7,3.9,24.1
0500000US55133,55133,id55133,"Waukesha County, Wisconsin",203136,175103,13407,3250,2641,9141,99,63.1,35.9,1,194083,3.5,7.9,21.1,31.1,15.6,20.8,12.5,28.5,26.3,22,6.6,4.1,24
0500000US27003,27003,id27003,"Anoka County, Minnesota",175464,143880,15265,2281,6843,7019,99.4,39,60.4,0.6,168360,4.4,11.6,23.7,24.7,12,23.6,8,23.2,23.2,27.6,11.1,7,28
0500000US27163,27163,id27163,"Washington County, Minnesota",126519,104758,10754,1645,3542,5820,97.4,36,61.4,2.6,120722,3.1,8.3,22.4,28.2,15.5,22.5,11.5,24.1,24.6,25.4,9.5,4.9,25.7
0500000US55009,55009,id55009,"Brown County, Wisconsin",126141,105202,9839,3659,2649,4919,99.6,89.7,9.8,0.4,121269,6.1,10.6,20.6,28.2,11.1,23.7,16.9,45,22.2,9.7,3,3.1,18.7
0500000US55087,55087,id55087,"Outagamie County, Wisconsin",93181,78738,6337,2702,1770,3541,99.4,65.3,34.2,0.6,89652,5.7,11.4,20,29.6,10.3,23,16.4,40.8,23.5,13.4,3,2.8,19.8
0500000US27137,27137,id27137,"St. Louis County, Minnesota",92866,72435,9286,4550,3158,3529,95.4,89.7,5.7,4.6,89366,3.4,8.4,18.8,29.7,13.2,26.6,20.5,39.2,20.4,12.2,3.6,4,19.6
0500000US55101,55101,id55101,"Racine County, Wisconsin",89005,74586,7387,1869,2314,2759,96.8,63.7,33.2,3.2,86220,4.8,9.7,22.9,27.3,11.3,23.9,17,31.8,18.9,18.2,8.7,5.4,23.5
0500000US55139,55139,id55139,"Winnebago County, Wisconsin",84095,71313,6223,2691,1430,2607,99.5,72.6,26.9,0.5,81528,5.6,11.2,19.5,26.8,9.9,27,19,42.4,21.9,11.7,2.1,3,18.6
0500000US27145,27145,id27145,"Stearns County, Minnesota",79744,62519,6619,3669,1594,5423,99.2,80.5,18.7,0.8,74355,5.7,8.9,19,30.8,10.9,24.8,22.3,38.3,18.1,11.9,3.8,5.5,20.3
0500000US27109,27109,id27109,"Olmsted County, Minnesota",77949,59085,8496,2884,4366,3196,99.1,93,6.1,0.9,74756,3,7.8,21.1,32.6,13.1,22.4,18,51.4,18.2,7.2,2.1,3.1,17.3
0500000US55059,55059,id55059,"Kenosha County, Wisconsin",77188,65378,6330,1776,1698,2007,72.1,54.7,17.5,27.9,75211,4.8,10.6,23.1,25,12.3,24.2,16.5,29.2,17.4,18.5,9.5,8.8,25.9
0500000US55105,55105,id55105,"Rock County, Wisconsin",73689,60130,7442,1916,1105,3169,91.8,69.4,22.4,8.2,70547,7.3,11.9,18.6,25.9,10,26.3,18.5,33.3,18.6,15.9,8,5.7,23.1
0500000US27139,27139,id27139,"Scott County, Minnesota",71862,60292,5173,791,1941,3737,99,35.6,63.4,1,68108,3.7,9.2,22.7,29,14.2,21.3,11.4,22.6,24.6,27.2,8.8,5.4,26.3
0500000US55131,55131,id55131,"Washington County, Wisconsin",70240,59704,5760,1335,983,2458,99.3,48.8,50.4,0.7,67753,4.7,11.3,24.5,26.9,11.6,21,15.5,25.8,21.8,24.1,8,4.8,24.6
0500000US55073,55073,id55073,"Marathon County, Wisconsin",68815,56291,6331,1996,1032,3097,99.4,85.4,14,0.6,65711,5.4,10.5,20.7,30.1,10.4,22.8,20.5,41.3,21.2,10.7,2.9,3.3,18.9
0500000US27171,27171,id27171,"Wright County, Minnesota",66010,54986,5347,1254,1254,3234,99.1,40.9,58.2,0.9,62798,5.7,13,23.6,27.4,9.5,20.7,12.9,21.7,14.1,25.5,14.7,11.1,30.1
