Id,Id2,Id3,Geography,Total Workers,Drove Alone,Carpooled,Walked or Biked,"Public Transportation, Taxi, or Motorcycle",Worked From Home,Work In State of Residence,InCounty,OutCounty,Work Outside State of Residence,Total Commuters,Left Between 12am and 4am,Left Between 5am and 6am,Left Between 6am and 7am,Left Between 7am and 8am,Left Between 8am and 9am,Left Between 9am and 12pm,Less Than 10 Minutes,10-19 Minutes,20-29 Minutes,30-44 Minutes,45-59 Minutes,60 Minutes or more,MeanTravel
0500000US27053,27053,id27053,"Hennepin County, Minnesota",623276,458108,50485,31164,51731,31787,618290,81,18.1,4986,591786,15978,36099,97053,175760,115990,150905,57403,189372,167475,126642,29589,20713,23
0500000US55079,55079,id55079,"Milwaukee County, Wisconsin",431099,328497,42248,19400,28884,12071,427650,80.3,18.9,3449,419084,16344,33946,75435,111476,60348,121953,47776,144165,112734,79207,18440,16763,22.2
0500000US55025,55025,id55025,"Dane County, Wisconsin",275925,200322,22902,24006,16279,12417,273718,94.5,4.7,2207,263619,6590,15554,45079,87258,45079,64059,38752,93321,68541,45079,9490,8436,20.9
0500000US27123,27123,id27123,"Ramsey County, Minnesota",256575,191148,23862,10520,17961,13085,253753,55,44,2822,243523,6575,17290,44321,65751,42860,66725,24109,81093,66482,49679,12907,9497,23.1
0500000US27037,27037,id27037,"Dakota County, Minnesota",215803,177606,16400,3021,8847,9711,213645,47.9,51.1,2158,206092,6389,15869,45134,58942,30296,49050,25968,55645,50699,49874,15869,8038,24.1
0500000US55133,55133,id55133,"Waukesha County, Wisconsin",203136,175103,13407,3250,2641,9141,201105,63.1,35.9,2031,194083,6793,15333,40952,60360,30277,40369,24260,55314,51044,42698,12809,7957,24
0500000US27003,27003,id27003,"Anoka County, Minnesota",175464,143880,15265,2281,6843,7019,174411,39,60.4,1053,168360,7408,19530,39901,41585,20203,39733,13469,39060,39060,46467,18688,11785,28
0500000US27163,27163,id27163,"Washington County, Minnesota",126519,104758,10754,1645,3542,5820,123230,36,61.4,3289,120722,3742,10020,27042,34044,18712,27162,13883,29094,29698,30663,11469,5915,25.7
0500000US55009,55009,id55009,"Brown County, Wisconsin",126141,105202,9839,3659,2649,4919,125636,89.7,9.8,505,121269,7397,12855,24981,34198,13461,28741,20494,54571,26922,11763,3638,3759,18.7
0500000US55087,55087,id55087,"Outagamie County, Wisconsin",93181,78738,6337,2702,1770,3541,92622,65.3,34.2,559,89652,5110,10220,17930,26537,9234,20620,14703,36578,21068,12013,2690,2510,19.8
0500000US27137,27137,id27137,"St. Louis County, Minnesota",92866,72435,9286,4550,3158,3529,88594,89.7,5.7,4272,89366,3038,7507,16801,26542,11796,23771,18320,35031,18231,10903,3217,3575,19.6
0500000US55101,55101,id55101,"Racine County, Wisconsin",89005,74586,7387,1869,2314,2759,86157,63.7,33.2,2848,86220,4139,8363,19744,23538,9743,20607,14657,27418,16296,15692,7501,4656,23.5
0500000US55139,55139,id55139,"Winnebago County, Wisconsin",84095,71313,6223,2691,1430,2607,83675,72.6,26.9,420,81528,4566,9131,15898,21850,8071,22013,15490,34568,17855,9539,1712,2446,18.6
0500000US27145,27145,id27145,"Stearns County, Minnesota",79744,62519,6619,3669,1594,5423,79106,80.5,18.7,638,74355,4238,6618,14127,22901,8105,18440,16581,28478,13458,8848,2825,4090,20.3
0500000US27109,27109,id27109,"Olmsted County, Minnesota",77949,59085,8496,2884,4366,3196,77247,93,6.1,702,74756,2243,5831,15774,24370,9793,16745,13456,38425,13606,5382,1570,2317,17.3
0500000US55059,55059,id55059,"Kenosha County, Wisconsin",77188,65378,6330,1776,1698,2007,55653,54.7,17.5,21535,75211,3610,7972,17374,18803,9251,18201,12410,21962,13087,13914,7145,6619,25.9
0500000US55105,55105,id55105,"Rock County, Wisconsin",73689,60130,7442,1916,1105,3169,67647,69.4,22.4,6042,70547,5150,8395,13122,18272,7055,18554,13051,23492,13122,11217,5644,4021,23.1
0500000US27139,27139,id27139,"Scott County, Minnesota",71862,60292,5173,791,1941,3737,71143,35.6,63.4,719,68108,2520,6266,15461,19751,9671,14507,7764,15392,16755,18525,5994,3678,26.3
0500000US55131,55131,id55131,"Washington County, Wisconsin",70240,59704,5760,1335,983,2458,69748,48.8,50.4,492,67753,3184,7656,16599,18226,7859,14228,10502,17480,14770,16328,5420,3252,24.6
0500000US55073,55073,id55073,"Marathon County, Wisconsin",68815,56291,6331,1996,1032,3097,68402,85.4,14,413,65711,3548,6900,13602,19779,6834,14982,13471,27139,13931,7031,1906,2168,18.9
0500000US27171,27171,id27171,"Wright County, Minnesota",66010,54986,5347,1254,1254,3234,65416,40.9,58.2,594,62798,3579,8164,14820,17207,5966,12999,8101,13627,8855,16013,9231,6971,30.1
0500000US55063,55063,id55063,"La Crosse County, Wisconsin",61019,48815,5003,3966,1098,2136,59310,89.5,7.7,1709,58888,2473,4770,10188,17843,6124,17431,12484,24733,12543,6065,1590,1590,18.1
0500000US55117,55117,id55117,"Sheboygan County, Wisconsin",57751,48742,4620,1733,751,1848,57520,84.5,15.1,231,55911,3299,7101,10903,13978,4976,15655,13251,24154,9225,4808,1901,2572,18.2
0500000US55035,55035,id55035,"Eau Claire County, Wisconsin",53233,42693,4046,2768,1064,2662,52435,80.7,17.8,798,50579,2327,4502,7637,14263,6373,15477,10419,25542,7435,4198,1214,1821,17.8
0500000US55039,55039,id55039,"Fond du Lac County, Wisconsin",51770,42193,4918,2070,673,1915,51459,70.2,29.2,311,49855,3689,6381,10420,12264,4537,12563,11766,18048,8774,6581,2243,2443,20.1
0500000US55127,55127,id55127,"Walworth County, Wisconsin",51089,41433,4700,2044,818,2095,45725,61.8,27.7,5364,48976,2645,5779,10089,12195,5583,12587,9648,15183,8473,6857,4310,4506,24.9
0500000US27019,27019,id27019,"Carver County, Minnesota",49996,41397,2950,850,1100,3650,49646,39.5,59.8,350,46336,1714,3846,9545,15152,6950,9175,6487,10843,10982,11213,4402,2409,25.4
0500000US27141,27141,id27141,"Sherburne County, Minnesota",45578,37739,4331,501,1231,1823,45213,30.2,69.1,365,43736,3105,6167,10103,10672,4549,9141,4155,9884,6867,9709,6254,6867,32.1
0500000US55109,55109,id55109,"St. Croix County, Wisconsin",44683,36908,4022,1072,402,2279,25291,48.7,7.9,19392,42399,2332,5215,9413,11617,5257,8692,6063,9540,8183,9243,5554,3774,27.9
0500000US55089,55089,id55089,"Ozaukee County, Wisconsin",44121,37282,2868,882,574,2427,43680,49.7,49.3,441,41677,1500,3167,8585,12420,6502,9502,6918,11670,9086,9419,2917,1667,23.6
0500000US55055,55055,id55055,"Jefferson County, Wisconsin",42648,34715,4093,1749,469,1621,42349,53.6,45.7,299,41045,2709,5623,8660,10466,3940,9605,9563,10672,7593,7347,3078,2791,23.2
0500000US55027,55027,id55027,"Dodge County, Wisconsin",42291,35567,3172,1438,508,1649,42164,57.7,42,127,40649,4349,6463,8292,8943,3699,8943,10813,11057,7236,6138,2886,2561,21.8
0500000US55071,55071,id55071,"Manitowoc County, Wisconsin",40231,33834,3057,1529,523,1287,39990,77.3,22.1,241,38934,3348,5723,7748,8916,3543,9656,9695,14250,6930,4867,1674,1518,19.2
0500000US55141,55141,id55141,"Wood County, Wisconsin",35497,29356,2768,1633,426,1242,35355,79.7,19.9,142,34238,1917,3766,7635,10203,2979,7738,9005,13113,5238,3937,1506,1472,19.1
0500000US27013,27013,id27013,"Blue Earth County, Minnesota",35147,28750,2953,1582,422,1441,34936,75.2,24.1,211,33718,1045,2158,5934,10419,4080,10115,7924,16218,5024,2630,708,1180,17.2
0500000US55097,55097,id55097,"Portage County, Wisconsin",35069,28090,2806,2490,421,1262,34753,79.9,19.2,316,33823,1251,2773,6122,9369,4093,10215,7745,13867,5547,4059,1285,1319,19.2
0500000US27131,27131,id27131,"Rice County, Minnesota",32880,23575,2532,1742,789,4274,32617,67.1,32.1,263,28607,1774,3290,5292,8096,3376,6751,7381,8010,4634,3690,2517,2346,22.5
0500000US55111,55111,id55111,"Sauk County, Wisconsin",32320,25953,3232,1422,355,1357,32094,77.3,22,226,30978,1952,3160,6010,9015,2943,7899,8581,8860,5390,3996,2137,1983,21.5
0500000US27027,27027,id27027,"Clay County, Minnesota",32208,25315,2577,1932,612,1804,15267,43.7,3.7,16941,30418,882,1643,5262,11072,3772,7817,6388,12684,5840,3528,973,943,18.8
0500000US55017,55017,id55017,"Chippewa County, Wisconsin",30259,24419,2542,847,393,2027,29745,60.4,37.9,514,28238,1807,4349,5902,7370,2513,6269,5732,8838,6721,4320,1412,1186,21.5
0500000US55021,55021,id55021,"Columbia County, Wisconsin",29129,23798,3029,844,437,1020,28867,49.5,49.6,262,28105,1714,3766,6633,7785,2529,5621,5762,6380,5087,6155,2979,1743,25.4
0500000US27035,27035,id27035,"Crow Wing County, Minnesota",28183,22715,2677,620,423,1747,27817,84.6,14.1,366,26423,1004,2537,4201,9354,3461,5866,5522,9592,5152,3805,925,1400,21.6
0500000US27169,27169,id27169,"Winona County, Minnesota",27495,20841,2171,2282,797,1375,25075,80,11.2,2420,26121,1437,2612,4859,7209,3056,6974,8385,9351,3500,2873,1228,810,17.3
0500000US27025,27025,id27025,"Chisago County, Minnesota",26941,22657,2263,377,511,1105,25971,36.2,60.1,970,25829,1937,3926,5966,6121,2557,5347,3332,4753,3564,5734,4623,3823,32.7
0500000US27111,27111,id27111,"Otter Tail County, Minnesota",26863,20711,3009,1289,403,1424,25493,78.6,16.3,1370,25427,1017,2594,4577,8365,3509,5365,7526,8162,3916,3026,1119,1704,20.7
0500000US55015,55015,id55015,"Calumet County, Wisconsin",26139,22532,1960,523,183,993,26034,31.6,68,105,25146,1961,2816,4803,7795,2339,5457,4903,9128,5432,3797,1081,780,20.1
0500000US55043,55043,id55043,"Grant County, Wisconsin",25378,19719,2081,1802,330,1421,21876,67.4,18.8,3502,23957,1533,2539,4432,6948,2204,6301,7379,6061,4097,3881,1270,1246,20.7
0500000US55135,55135,id55135,"Waupaca County, Wisconsin",24897,20515,2266,946,299,871,24723,63.5,35.8,174,24020,2498,3147,4348,5813,1898,6317,6197,6774,3963,3987,1898,1225,22
0500000US27049,27049,id27049,"Goodhue County, Minnesota",23177,18403,2086,1020,441,1228,22760,64.8,33.5,417,21942,1360,2831,4586,6034,2238,4893,5464,5749,3928,3423,1777,1602,23.1
0500000US55093,55093,id55093,"Pierce County, Wisconsin",22114,17404,1813,1614,155,1128,12848,35.9,22.2,9266,20994,1386,2981,4136,4745,1868,5836,3695,4871,3422,4703,2456,1868,26.8
0500000US55033,55033,id55033,"Dunn County, Wisconsin",21778,16834,2004,1655,196,1089,20885,64.5,31.4,893,20689,1448,2379,4034,5131,2048,5648,4448,6289,4096,3621,1014,1200,22.3
0500000US55005,55005,id55005,"Barron County, Wisconsin",21601,17130,1663,1275,173,1318,21083,83.5,14.1,518,20282,1886,2373,3671,5436,2109,4827,6003,6835,3407,2048,750,1237,19.4
0500000US27067,27067,id27067,"Kandiyohi County, Minnesota",21430,17594,2186,536,278,814,21216,86.5,12.5,214,20610,886,1711,3772,7131,2391,4720,6430,7523,3215,2020,495,948,17.5
0500000US55031,55031,id55031,"Douglas County, Wisconsin",20960,16957,1950,797,524,734,12890,58.8,2.7,8070,20226,951,1396,4389,5481,2892,5097,4247,6634,3904,3317,1396,708,21.1
0500000US55081,55081,id55081,"Monroe County, Wisconsin",20914,16919,2008,628,523,837,20768,79.3,20,146,20077,1646,2791,3995,5441,1606,4618,4537,6826,3995,3152,924,642,19.8
0500000US55095,55095,id55095,"Polk County, Wisconsin",20709,16691,2092,538,227,1160,16132,61,16.9,4577,19543,1583,2658,3987,5394,1759,4163,3615,4827,3166,3244,1798,2873,29.3
0500000US27007,27007,id27007,"Beltrami County, Minnesota",19957,14948,2155,859,659,1357,19678,85,13.6,279,18601,763,1228,3181,6957,2269,4222,4185,7850,2716,2102,558,1190,20.1
0500000US55115,55115,id55115,"Shawano County, Wisconsin",19767,15655,1937,731,139,1324,19688,59.1,40.5,79,18438,1715,2342,3393,5015,1641,4370,4370,5329,2858,3116,1623,1106,22.9
0500000US27009,27009,id27009,"Benton County, Minnesota",19393,15960,1784,484,291,873,19257,36.8,62.5,136,18514,1129,2018,3610,5591,1759,4425,3555,6832,3407,2666,870,1166,22.3
0500000US27061,27061,id27061,"Itasca County, Minnesota",19367,15784,1879,600,271,813,19212,84.4,14.8,155,18556,705,1893,3767,5585,2320,4286,3841,6439,3526,2542,983,1206,22.8
0500000US55045,55045,id55045,"Green County, Wisconsin",19258,15464,1657,751,212,1175,18565,60.4,36.1,693,18090,1447,2026,4034,5355,1628,3618,4993,4215,2732,3310,1700,1140,23.4
0500000US27059,27059,id27059,"Isanti County, Minnesota",18880,15180,1813,359,397,1133,18616,41.1,57.5,264,17751,1527,2556,4029,3834,1509,4296,2432,4171,1988,3515,2414,3213,33.5
0500000US27099,27099,id27099,"Mower County, Minnesota",18594,14671,1710,818,707,707,18204,77,21,390,17881,1127,2217,3827,3952,1609,5168,6544,5776,1770,2056,1073,679,17.5
0500000US55083,55083,id55083,"Oconto County, Wisconsin",18517,15184,1870,389,185,907,18295,43.7,55.1,222,17612,1849,2941,4033,4086,1303,3399,3329,3329,3839,4843,1374,916,26
0500000US27085,27085,id27085,"McLeod County, Minnesota",18503,15191,1629,759,204,740,18392,67.3,32.1,111,17771,889,2328,3519,4869,2221,3945,5011,5011,2879,1973,1208,1670,22.2
0500000US27103,27103,id27103,"Nicollet County, Minnesota",18246,14104,1332,912,255,1642,18191,50.3,49.4,55,16606,415,1461,2956,5646,2076,4052,5447,6742,2341,980,332,764,16.2
0500000US55075,55075,id55075,"Marinette County, Wisconsin",18219,15049,1694,729,237,492,15650,74.3,11.6,2569,17727,1737,2695,2960,3971,1720,4680,5088,6151,2446,1915,922,1223,20.8
0500000US27041,27041,id27041,"Douglas County, Minnesota",18211,15152,1384,528,237,892,17992,85.1,13.7,219,17311,641,1471,2908,6197,2285,3791,4709,7132,2856,1558,364,710,18.3
0500000US27147,27147,id27147,"Steele County, Minnesota",18070,15540,1247,433,253,596,18034,78.5,21.2,36,17476,751,1975,3932,5173,1713,3950,5837,6309,2342,1416,717,839,17.7
0500000US55085,55085,id55085,"Oneida County, Wisconsin",16360,13415,1440,475,163,867,16196,80.4,18.6,164,15492,496,1425,3470,4710,1766,3641,3842,5871,2556,1828,589,775,20
0500000US27097,27097,id27097,"Morrison County, Minnesota",16011,12393,1777,528,208,1121,15851,62.1,36.8,160,14883,1354,1950,3111,4123,1399,2917,3364,3765,2307,3006,1250,1191,25.6
0500000US27017,27017,id27017,"Carlton County, Minnesota",15920,13277,1306,478,175,669,15283,64,32,637,15244,701,1616,3125,4634,1509,3643,3140,4619,3186,3110,686,503,21.2
0500000US27119,27119,id27119,"Polk County, Minnesota",15459,12506,1314,695,232,727,10914,62.4,8.2,4545,14725,398,987,2754,5625,1988,2960,4874,4918,2032,1752,633,515,17.7
0500000US27005,27005,id27005,"Becker County, Minnesota",15403,11922,1786,539,123,1032,14094,73.6,17.9,1309,14365,603,1264,2916,5028,1954,2600,3232,4942,2370,1609,1063,1164,23.2
0500000US55019,55019,id55019,"Clark County, Wisconsin",15322,11262,1318,874,291,1578,15215,65,34.3,107,13745,1375,1979,2983,3477,1127,2804,4082,3697,2337,2089,783,742,21
0500000US27047,27047,id27047,"Freeborn County, Minnesota",14894,12019,1564,328,387,581,14090,75.2,19.4,804,14311,830,1531,2719,4021,1589,3606,3807,5853,2118,1517,386,658,18.5
0500000US55121,55121,id55121,"Trempealeau County, Wisconsin",14770,11890,1374,679,177,635,13795,68.2,25.2,975,14141,1414,2319,2602,3747,1202,2856,3931,3323,2701,2814,764,594,21.1
0500000US27079,27079,id27079,"Le Sueur County, Minnesota",14238,11618,1395,456,199,570,14138,40.4,58.9,100,13663,888,1476,3156,4249,1366,2500,3156,3033,2350,2869,1189,1066,25
0500000US27083,27083,id27083,"Lyon County, Minnesota",13925,10346,1922,502,250,905,13688,91.1,7.2,237,13025,482,1003,2358,4910,1459,2813,5744,3855,1915,912,195,417,15.3
0500000US55069,55069,id55069,"Lincoln County, Wisconsin",13588,11264,1413,272,217,421,13493,63.2,36.1,95,13167,1053,2054,2949,3305,1185,2620,2870,4042,2278,2581,790,593,22.6
0500000US27015,27015,id27015,"Brown County, Minnesota",13339,10311,987,827,160,1040,13286,85.9,13.6,53,12295,418,1316,2570,3910,1217,2865,5225,3910,1439,1082,320,320,14.9
0500000US55123,55123,id55123,"Vernon County, Wisconsin",13166,10125,1092,684,303,961,12929,60.6,37.6,237,12203,830,1257,2453,3807,1330,2514,2611,3234,2099,2502,1025,708,23.5
0500000US55029,55029,id55029,"Door County, Wisconsin",13065,10269,1345,601,209,640,12882,84.6,14,183,12421,497,1553,2348,3528,1764,2733,4037,3925,1776,1453,646,584,19.3
0500000US27115,27115,id27115,"Pine County, Minnesota",12656,9948,1607,316,253,532,12403,61.5,36.5,253,12122,1152,1552,2049,2921,1321,3127,2255,3564,1903,1661,630,2109,29.9
0500000US55049,55049,id55049,"Iowa County, Wisconsin",12259,9268,1484,515,221,772,12100,59.4,39.2,159,11487,839,1585,2711,3377,1034,1930,2814,2699,1712,1895,1310,1045,25.4
0500000US27021,27021,id27021,"Cass County, Minnesota",11813,8966,1182,460,307,921,11565,55.4,42.5,248,10889,490,926,2112,3680,1263,2417,2548,3092,2189,1710,686,653,22.8
0500000US55057,55057,id55057,"Juneau County, Wisconsin",11670,9406,1295,385,164,432,11483,62.6,35.8,187,11240,1057,1495,2124,2889,922,2754,2349,3305,2169,2113,629,697,23.3
0500000US27095,27095,id27095,"Mille Lacs County, Minnesota",11479,9252,1217,378,230,413,11330,53.8,44.9,149,11070,1041,1517,2236,2956,1173,2159,2579,2690,1229,1528,1229,1838,29.1
0500000US27093,27093,id27093,"Meeker County, Minnesota",11179,9245,917,392,100,525,11112,54.7,44.7,67,10657,575,1343,2419,3165,1055,2078,2696,2835,1993,1545,586,1002,24.4
0500000US27153,27153,id27153,"Todd County, Minnesota",11161,8371,1227,413,245,904,11049,53.9,45.1,112,10258,923,1200,2093,2739,1057,2226,2575,2616,1867,1785,759,657,23.4
0500000US27157,27157,id27157,"Wabasha County, Minnesota",11140,8433,1170,535,346,657,10895,51.4,46.4,245,10482,577,1184,2254,3249,1017,2212,2945,1887,2128,2222,734,566,22.9
0500000US27039,27039,id27039,"Dodge County, Minnesota",10593,8644,985,191,159,625,10519,37.2,62.2,74,9972,548,1167,2752,2742,788,1974,1825,1795,3141,2254,529,429,23.7
0500000US27091,27091,id27091,"Martin County, Minnesota",10239,8242,952,297,277,471,9860,81.8,14.5,379,9769,293,1114,1768,3107,1260,2218,3458,3087,1573,948,264,440,16.9
0500000US27045,27045,id27045,"Fillmore County, Minnesota",10188,7203,1253,560,448,723,9668,55.1,39.9,520,9464,558,1249,2413,2678,899,1675,2498,1883,1259,1893,1136,795,25.5
0500000US27105,27105,id27105,"Nobles County, Minnesota",10162,7164,1759,467,325,447,9430,82.2,10.6,732,9719,496,1409,1740,2644,952,2469,3479,3188,1176,914,622,340,17.4
0500000US55137,55137,id55137,"Waushara County, Wisconsin",10134,7905,1247,253,203,517,10033,50.4,48.6,101,9614,875,1154,2173,2528,740,2134,1961,2404,1644,1606,1115,894,26.7
0500000US55061,55061,id55061,"Kewaunee County, Wisconsin",10118,8165,788,485,162,526,10108,54.5,45.4,10,9590,892,1688,2398,2359,614,1640,2570,1928,1803,2263,700,326,22.4
0500000US55119,55119,id55119,"Taylor County, Wisconsin",9950,7612,965,468,209,697,9900,75.4,24.1,50,9253,999,1592,1777,2045,888,1952,2896,2517,1619,1092,500,629,21.7
0500000US27055,27055,id27055,"Houston County, Minnesota",9609,7678,769,336,231,605,5122,45.3,8,4487,9003,585,1125,1909,2998,945,1440,1963,3043,1522,1567,504,414,21.3
0500000US27161,27161,id27161,"Waseca County, Minnesota",9330,7464,867,280,149,569,9255,61.4,37.8,75,8763,666,929,1884,2559,824,1910,2769,2296,1805,1113,307,473,20.1
0500000US27057,27057,id27057,"Hubbard County, Minnesota",9329,7435,886,336,121,560,9142,58.5,39.4,187,8770,281,649,1552,2929,1342,2008,2026,3017,1815,1026,342,535,21.6
0500000US55053,55053,id55053,"Jackson County, Wisconsin",9035,7237,957,253,117,470,8899,69.6,28.9,136,8567,788,1114,1474,2287,737,2159,2210,2664,1302,1319,514,574,21.7
0500000US55047,55047,id55047,"Green Lake County, Wisconsin",8903,7042,811,401,196,445,8832,51.4,47.7,71,8457,846,1201,1768,2089,651,1903,1970,2224,1700,1378,626,567,23.1
0500000US55067,55067,id55067,"Langlade County, Wisconsin",8814,6998,785,503,149,388,8743,80.2,19,71,8428,565,1214,1525,2174,801,2149,2680,2764,927,919,632,497,20.5
0500000US55125,55125,id55125,"Vilas County, Wisconsin",8809,7012,670,493,88,546,8633,73.4,24.6,176,8261,281,636,1305,2743,1338,1966,2131,3156,1338,1041,297,297,19
0500000US55065,55065,id55065,"Lafayette County, Wisconsin",8514,6462,706,485,94,758,7739,49.9,41,775,7753,620,992,1783,2248,690,1427,2000,1675,1365,1574,519,628,24.9
0500000US55103,55103,id55103,"Richland County, Wisconsin",8239,6649,667,346,91,486,8181,64.4,34.9,58,7753,589,1140,1287,1791,907,2039,1814,2194,1380,1248,411,713,23.6
